age,qx
0,0.002426
1,0.000165
2,0.000129
3,7.9e-05
4,9.3e-05
5,0.000139
6,6.3e-05
7,6.4e-05
8,8.1e-05
9,4.9e-05
10,4.9e-05
11,6.6e-05
12,6.6e-05
13,9.6e-05
14,6.3e-05
15,0.000142
16,0.000171
17,0.000212
18,0.000211
19,0.000303
20,0.000272
21,0.000357
22,0.000437
23,0.000569
24,0.000325
25,0.000452
26,0.0004
27,0.000548
28,0.000376
29,0.000524
30,0.00048
31,0.000622
32,0.000698
33,0.00038
34,0.000626
35,0.000646
36,0.000432
37,0.000953
38,0.000696
39,0.00091
40,0.000766
41,0.000792
42,0.000897
43,0.000979
44,0.001158
45,0.001373
46,0.001293
47,0.001367
48,0.001763
49,0.002014
50,0.002187
51,0.00272
52,0.002553
53,0.002866
54,0.003373
55,0.003561
56,0.004157
57,0.004061
58,0.00429
59,0.004582
60,0.005857
61,0.0059
62,0.007053
63,0.006937
64,0.008014
65,0.008896
66,0.010449
67,0.010589
68,0.01222
69,0.01377
70,0.014597
71,0.015883
72,0.017745
73,0.01945
74,0.021802
75,0.025146
76,0.028074
77,0.031351
78,0.033922
79,0.039336
80,0.042971
81,0.052587
82,0.055022
83,0.065543
84,0.073231
85,0.082587
86,0.08858
87,0.102217
88,0.102217
89,0.102217
90,0.102217
91,0.102217
92,0.102217
93,0.102217
94,0.102217
95,0.102217
96,0.102217
97,0.102217
98,0.102217
99,0.102217
100,0.102217
101,0.102217
102,0.102217
103,0.102217
104,0.102217
105,0.102217
106,0.102217
